fecha,co,no2,pm10
2011-11-10,0.34375,16.217391304347824,41.291666666666664
2011-11-11,0.5129411764705881,21.6,44.791666666666664
2011-11-12,0.42375000000000007,26.125,26.583333333333332
2011-11-13,0.3712499999999999,22.136363636363637,28.208333333333332
2011-11-14,0.395625,24.263157894736842,25.75
2011-11-15,0.4025,22.0,26.833333333333332
2011-11-16,,,
2011-11-17,,,
2011-11-18,0.4616666666666667,23.428571428571427,
2011-11-19,0.33208333333333334,18.25,25.05
2011-11-20,0.41708333333333325,19.458333333333332,27.583333333333332
2011-11-21,0.4918181818181818,29.785714285714285,23.0
2011-11-22,0.265,18.352941176470587,169.85714285714286
2011-11-23,0.3177777777777778,18.5,109.125
2011-11-24,0.48500000000000004,20.1,84.83333333333333
2011-11-25,0.7174999999999999,20.608695652173914,65.5
2011-11-26,0.6279166666666669,20.25,117.79166666666667
2011-11-27,0.52375,17.0,104.54166666666667
2011-11-28,0.7516666666666668,20.083333333333332,54.625
2011-11-29,0.7891666666666667,25.869565217391305,42.5
2011-11-30,0.5895833333333333,11.333333333333334,33.041666666666664
2011-12-01,0.41666666666666674,27.272727272727273,22.545454545454547
2011-12-02,0.4889473684210527,24.235294117647058,28.304347826086957
2011-12-03,,,
2011-12-04,,,
2011-12-05,0.7383333333333333,22.181818181818183,
2011-12-06,0.6404166666666666,19.857142857142858,24.88888888888889
2011-12-07,0.6062499999999998,25.75,27.041666666666668
2011-12-08,0.4741666666666666,14.958333333333334,20.833333333333332
2011-12-09,0.41291666666666665,10.291666666666666,19.958333333333332
2011-12-10,0.44416666666666677,9.875,25.291666666666668
2011-12-11,0.5279166666666667,13.208333333333334,24.0
2011-12-12,0.4158333333333335,13.73913043478261,32.166666666666664
2011-12-13,0.45416666666666666,14.458333333333334,35.166666666666664
2011-12-14,0.48124999999999996,14.583333333333334,29.875
2011-12-15,0.5179166666666667,14.958333333333334,24.708333333333332
2011-12-16,0.5061111111111111,13.333333333333334,21.166666666666668
2011-12-17,0.4337499999999999,12.875,24.75
2011-12-18,0.44625000000000004,13.125,30.833333333333332
2011-12-19,0.4694444444444445,16.666666666666668,22.125
2011-12-20,0.6058333333333333,19.375,23.75
2011-12-21,0.6927777777777778,25.476190476190474,38.541666666666664
2011-12-22,0.6525000000000001,25.0,34.958333333333336
2011-12-23,0.45625000000000004,15.75,36.916666666666664
2011-12-24,0.3779166666666667,12.583333333333334,24.875
2011-12-25,0.28625000000000006,8.791666666666666,18.25
2011-12-26,0.33624999999999994,11.818181818181818,15.125
2011-12-27,0.4070833333333334,15.695652173913043,21.875
2011-12-28,0.3908333333333334,15.952380952380953,22.291666666666668
2011-12-29,0.4170833333333334,12.5,21.083333333333332
2011-12-30,0.4395833333333332,16.083333333333332,23.791666666666668
2011-12-31,0.4575,13.5,26.625
2012-01-01,,,
2012-01-02,0.42875,23.22222222222222,
2012-01-03,0.3791666666666668,14.130434782608695,39.59090909090909
2012-01-04,0.36375,16.875,29.583333333333332
2012-01-05,0.38333333333333336,13.666666666666666,24.5
2012-01-06,0.37666666666666665,10.083333333333334,47.083333333333336
2012-01-07,0.3958333333333333,10.791666666666666,44.958333333333336
2012-01-08,0.3545833333333332,10.708333333333334,41.833333333333336
2012-01-09,0.4795833333333335,19.708333333333332,38.791666666666664
2012-01-10,0.5082352941176471,15.95,44.708333333333336
2012-01-11,0.5766666666666667,23.608695652173914,50.291666666666664
2012-01-12,0.32583333333333336,10.863636363636363,37.708333333333336
2012-01-13,0.32333333333333336,15.708333333333334,29.583333333333332
2012-01-14,0.2883333333333333,9.0,22.916666666666668
2012-01-15,0.30666666666666664,9.791666666666666,19.166666666666668
2012-01-16,0.36708333333333326,18.791666666666668,21.0
2012-01-17,0.4070833333333335,18.666666666666668,25.208333333333332
2012-01-18,0.3705555555555555,13.818181818181818,26.333333333333332
2012-01-19,0.49291666666666667,24.791666666666668,28.958333333333332
2012-01-20,0.44083333333333335,15.791666666666666,33.458333333333336
2012-01-21,0.40833333333333327,16.958333333333332,27.416666666666668
2012-01-22,0.4750000000000001,16.583333333333332,26.791666666666668
2012-01-23,0.44458333333333333,15.818181818181818,21.25
2012-01-24,0.4050000000000002,13.166666666666666,25.625
2012-01-25,0.32916666666666666,9.782608695652174,25.416666666666668
2012-01-26,0.40666666666666657,13.166666666666666,27.958333333333332
2012-01-27,0.3122222222222223,11.304347826086957,25.625
2012-01-28,0.23125000000000004,7.0,23.75
2012-01-29,0.3112500000000001,9.166666666666666,20.458333333333332
2012-01-30,0.5045833333333334,20.666666666666668,21.958333333333332
2012-01-31,0.6216666666666667,24.75,33.25
2012-02-01,0.5633333333333334,21.708333333333332,41.666666666666664
2012-02-02,0.4483333333333334,18.142857142857142,31.458333333333332
2012-02-03,0.5562500000000001,15.333333333333334,26.625
2012-02-04,0.5741666666666667,12.416666666666666,29.625
2012-02-05,0.54375,11.291666666666666,37.166666666666664
2012-02-06,0.5295833333333334,19.541666666666668,25.291666666666668
2012-02-07,0.5687500000000002,15.875,34.208333333333336
2012-02-08,0.4616666666666667,14.857142857142858,29.416666666666668
2012-02-09,0.30866666666666664,5.461538461538462,45.15
2012-02-10,0.41428571428571426,12.090909090909092,
2012-02-11,0.44375000000000003,15.375,33.142857142857146
2012-02-12,0.455,15.708333333333334,34.416666666666664
2012-02-13,0.4133333333333334,16.541666666666668,30.791666666666668
2012-02-14,0.4,17.846153846153847,26.88888888888889
2012-02-15,0.49625,27.333333333333332,39.294117647058826
2012-02-16,0.4841666666666668,23.25,49.125
